station,month,n,baseline_mae,xgb_delta_mae,gain,alpha,is_eligible
30372,6,30,1.1666666666666672,1.0796300832376196,0.08703658342904763,0.07460278579632651,1
29698,4,30,1.4966666666666666,1.409691101353771,0.08697556531289563,0.058112849874985946,1
25703,11,30,2.9133333333333336,2.8267808498938884,0.0865524834394451,0.02970909042543882,1
26063,3,31,0.5903225806451612,0.5038460903831068,0.0864764902620544,0.14649022940566594,1
29866,3,19,1.5947368421052632,1.5084577193581745,0.08627912274708871,0.05410242020444506,1
27333,8,31,1.3677419354838711,1.2820580604876723,0.08568387499619878,0.06264622936042835,1
30673,10,31,1.6290322580645165,1.5434237382164406,0.08560851984807583,0.05255176465921485,1
31168,12,31,1.8451612903225802,1.7596083269364404,0.08555296338613982,0.0463661165204604,1
28900,9,30,0.5266666666666668,0.44136412099003813,0.0853025456766287,0.1619668588796747,1
25703,7,31,1.3709677419354838,1.2860177447869172,0.08494999714856655,0.061963527331895606,1
31369,7,31,1.0774193548387097,0.9930087361364593,0.0844106187022503,0.07834518502304669,1
36034,5,31,1.561290322580645,1.4769538152121724,0.08433650736847254,0.054017184471542336,1
24507,9,30,1.0533333333333337,0.9690719389458539,0.08426139438747982,0.07999499467165802,1
31388,6,30,0.7566666666666663,0.6725057118820646,0.08416095478460162,0.11122593143339427,1
37235,3,31,0.7161290322580646,0.6321719836804175,0.08395704857764708,0.11723732008590357,1
28224,8,31,1.3387096774193545,1.254930951664104,0.08377872575525047,0.0625816987569341,1
23891,5,31,1.3806451612903226,1.2969265932517668,0.08371856803855571,0.06063728058867353,1
31168,7,31,0.9322580645161287,0.8489282275399851,0.0833298369761436,0.0893849462373859,1
23891,4,30,1.6600000000000001,1.576824639561431,0.08317536043856921,0.050105638818415184,1
24966,11,30,2.6133333333333337,2.5303890963271263,0.08294423700620746,0.03173886620135489,1
32098,10,31,1.7516129032258065,1.6687669771813578,0.08284592604444874,0.04729693752077184,1
25703,8,31,1.7322580645161292,1.6498193607695641,0.08243870374656503,0.047590313149786144,1
24908,6,30,1.22,1.1376073849201203,0.08239261507987972,0.06753493039334403,1
20891,1,31,1.887096774193549,1.8051400322827604,0.0819567419107885,0.043430068362981925,1
31873,5,31,1.1129032258064515,1.031054673277803,0.08184855252864853,0.07354507618516246,1
30823,4,30,1.3966666666666667,1.3148696537688374,0.08179701289782937,0.05856588035644107,1
24908,4,30,2.4099999999999997,2.3285617679574835,0.08143823204251621,0.03379179752801503,1
24738,7,31,1.1096774193548384,1.028263256297777,0.0814141630570615,0.07336741438281708,1
24951,9,30,1.3299999999999998,1.248628810296456,0.08137118970354384,0.061181345641762294,1
34139,12,31,1.7000000000000004,1.6186881451356798,0.08131185486432058,0.04783050286136503,1
27648,8,31,0.9451612903225803,0.8638687674722242,0.08129252285035615,0.08600915386897753,1
21946,11,30,1.9700000000000002,1.8887324556708336,0.08126754432916661,0.04125256057318102,1
24966,9,30,1.903333333333333,1.8221351947883764,0.08119813854495672,0.04266101849997727,1
30230,5,31,0.8741935483870966,0.7935974890366198,0.08059605935047687,0.09219475423855289,1
24966,8,31,1.6483870967741936,1.5683440852865216,0.08004301148767201,0.048558382702893,1
24507,5,31,1.035483870967742,0.9556083678538281,0.079875503113914,0.07713833634053999,1
27648,7,31,1.0451612903225804,0.9657316744447715,0.07942961587780895,0.07599747198185425,1
26063,8,31,0.5677419354838712,0.4887407937357501,0.07900114174812112,0.13914973830634964,1
28722,7,31,0.9225806451612901,0.8438853839712757,0.07869526119001446,0.08529905933183388,1
27459,1,31,1.2387096774193553,1.16049894326697,0.07821073415238544,0.06313887392510281,1
29263,7,31,0.7967741935483869,0.7187353555713929,0.07803883797699396,0.09794348086181431,1
29282,7,31,0.7612903225806454,0.6833229508311038,0.0779673717495416,0.10241476797609275,1
30054,2,28,1.6392857142857145,1.5613458156053508,0.07793989868036366,0.047545036232030116,1
30393,6,30,0.7766666666666667,0.6993467665401599,0.0773199001265068,0.09955351947618901,1
30230,11,30,1.3566666666666667,1.279571511174242,0.07709515549242463,0.05682689594036213,1
21946,8,31,1.2935483870967743,1.2166291204191022,0.07691926667767213,0.059463772244584434,1
30777,9,30,1.2633333333333334,1.187084825535615,0.07624850779771841,0.06035501936494861,1
31707,6,30,0.7633333333333332,0.6872955162636936,0.07603781706963963,0.09961286078992093,1
31168,9,30,1.6866666666666665,1.61073762986809,0.07592903679857654,0.0450172154932272,1
28722,6,30,0.9599999999999996,0.8842673222720621,0.07573267772793757,0.07888820596660166,1
30521,1,31,1.7000000000000004,1.624657397843417,0.0753426021565835,0.04431917773916676,1
31388,3,31,1.6161290322580646,1.5407997024395774,0.07532932981848717,0.04661096256233737,1
30965,7,31,0.983870967741935,0.9085841577064481,0.07528681003548698,0.07652102003606877,1
24817,5,31,1.0225806451612904,0.9481089837248287,0.07447166143646178,0.07282717679906356,1
34139,10,31,0.9451612903225809,0.8708487282657337,0.07431256205684722,0.0786242124150943,1
21946,7,31,1.4709677419354839,1.3966701223965614,0.07429761953892244,0.05050934661637271,1
34646,12,31,1.106451612903226,1.0326778628893436,0.07377375001388242,0.06667598397756136,1
31168,10,31,1.4193548387096775,1.3460626383221919,0.07329220038748563,0.0516376866366376,1
31594,9,30,1.5266666666666666,1.4539998983281355,0.07266676833853114,0.04759831987240031,1
32061,3,31,2.1580645161290315,2.0855883753948627,0.07247614073416875,0.033583861924652195,1
29282,6,30,1.21,1.1376369377163549,0.07236306228364509,0.05980418370549181,1
29263,4,30,1.613333333333333,1.5415981692758696,0.0717351640574635,0.04446394466371705,1
30965,9,30,1.2100000000000002,1.1393908478692176,0.07060915213078256,0.058354671182464915,1
24951,11,30,1.5733333333333335,1.5028024647633236,0.0705308685700099,0.04482894188771815,1
24738,8,31,1.0225806451612902,0.952188305376518,0.07039233978477222,0.06883793480529776,1
24688,5,31,0.9677419354838709,0.8976065470536628,0.07013538843020806,0.072473234711215,1
30372,2,28,3.0285714285714285,2.958693052615438,0.06987837595599045,0.023073048664713828,1
24951,5,31,0.8516129032258066,0.7820642493334752,0.06954865389233145,0.08166697994932857,1
22820,5,31,0.7741935483870968,0.7048980608161901,0.06929548757090664,0.08950667144575442,1
28434,7,31,0.9096774193548386,0.8404567281565357,0.06922069119830287,0.07609366762934006,1
22113,6,30,0.5700000000000001,0.5008947376681802,0.0691052623318199,0.12123730233652613,1
29430,1,31,0.8774193548387098,0.8086165048903038,0.06880284994840602,0.07841501280884508,1
29866,12,31,2.0258064516129033,1.957692245898708,0.06811420571419524,0.03362325441305816,1
37031,8,31,0.9032258064516127,0.8354968405298646,0.06772896592174804,0.07498564084193535,1
23933,8,31,0.7161290322580643,0.6485649037204921,0.06756412853757221,0.09434630561552879,1
27459,3,31,1.2838709677419355,1.2164123133666092,0.06745865437532639,0.05254317300590749,1
30925,5,31,1.1548387096774195,1.0876934883334943,0.0671452213439252,0.05814251010228159,1
31416,1,31,2.029032258064516,1.9622560619346556,0.0667761961298603,0.03291036693204562,1
22550,4,30,0.6066666666666669,0.5399046536876511,0.06676201297901585,0.11004727414123487,1
30925,8,31,0.9612903225806453,0.8946350028227654,0.06665531975787986,0.06933942659376763,1
28064,6,30,0.7499999999999997,0.6834246246679682,0.0665753753320315,0.08876716710937538,1
29612,7,31,0.6290322580645162,0.562478023887642,0.06655423417687423,0.10580416715297952,1
28900,3,31,0.7290322580645162,0.6626517847180364,0.06638047334647978,0.09105286166995014,1
31707,2,28,1.721428571428571,1.655101671309343,0.06632690011922815,0.03853014944685453,1
29866,2,15,1.7733333333333334,1.7070809177417934,0.06625241559154005,0.037360384732071455,1
31329,9,30,0.7000000000000001,0.6338748317646485,0.06612516823535153,0.09446452605050218,1
24343,7,30,0.9333333333333335,0.8674372010367614,0.0658961322965721,0.07060299888918438,1
22550,6,30,0.7466666666666665,0.6810426556691528,0.0656240109975137,0.08788930044309871,1
