station,n,baseline_mae,xgb_delta_cluster_v3_mae,gain,alpha,base_eps,adaptive_eps
32098,365,1.5421917808219177,1.4874706495289165,0.05472113129300116,0.03548270193985686,0.005,0.006959844978024748
24966,339,1.8380530973451328,1.7843150774280023,0.05373801991713045,0.029236380600075787,0.005,0.006959844978024748
25703,364,2.1123626373626374,2.059714674524778,0.05264796283785955,0.024923733220159807,0.005,0.006959844978024748
31873,365,1.3345205479452056,1.2827257715644036,0.05179477638080199,0.038811524079229574,0.005,0.006959844978024748
30521,365,1.4043835616438354,1.3564555339664475,0.04792802767738791,0.03412744850223681,0.005,0.006959844978024748
30393,364,1.2436813186813187,1.196319322506443,0.04736199617487569,0.03808209986228131,0.005,0.006959844978024748
31388,354,1.2522598870056498,1.2057455929411551,0.0465142940644947,0.037144281747870794,0.005,0.008695791488294847
23891,364,1.4549450549450547,1.4099237817737458,0.045021273171308884,0.030943624309585416,0.005,0.012327769406139808
24266,365,2.0021917808219176,1.9615684532943143,0.04062332752760334,0.020289428773365106,0.005,0.006959844978024748
31329,365,1.0575342465753426,1.0172535262147784,0.04028072036056418,0.03808928220623296,0.005,0.012759702066477568
30777,365,1.286301369863014,1.2474722601886048,0.03882910967440911,0.030186634784151914,0.005,0.006959844978024748
31915,365,1.1893150684931508,1.1507613832553314,0.038553685237819435,0.032416712996554,0.005,0.006959844978024748
31532,365,1.552876712328767,1.5152396399847694,0.0376370723439976,0.024236999656949764,0.005,0.006959844978024748
29612,364,1.048901098901099,1.0119496147507312,0.03695148415036775,0.03522875911664186,0.005,0.006959844978024748
29698,365,1.4712328767123288,1.4343650991834493,0.036867777528879486,0.0250591039069665,0.005,0.006959844978024748
30925,365,1.2112328767123288,1.1762113375127419,0.03502153919958695,0.028913960207756696,0.005,0.006959844978024748
31168,365,1.2580821917808218,1.2230700623831543,0.03501212939766751,0.0278297631318568,0.005,0.006959844978024748
34163,275,1.2272727272727275,1.1929494364728561,0.0343232907998714,0.027967125836932245,0.005,0.006959844978024748
30372,365,1.6578082191780823,1.6242927200284032,0.03351549914967911,0.020216752916266522,0.005,0.006959844978024748
24959,365,1.2219178082191782,1.1887981113174784,0.0331196969016998,0.027104684684126516,0.005,0.006959844978024748
31416,365,1.692602739726028,1.6596289087932758,0.03297383093275208,0.01948113999749839,0.005,0.006959844978024748
24343,363,1.3575757575757577,1.3259967945709814,0.03157896300477625,0.02326128971333965,0.005,0.006959844978024748
30636,364,1.5796703296703296,1.549442033199491,0.03022829647083869,0.019135825939800493,0.005,0.006959844978024748
31004,365,1.232054794520548,1.2029348431841456,0.02911995133640244,0.023635272932592596,0.005,0.006959844978024748
24951,365,1.5734246575342465,1.5462389902316978,0.02718566730254879,0.01727802292430839,0.005,0.006959844978024748
28722,365,0.8958904109589038,0.8688530997447317,0.027037311214172077,0.030179261752822054,0.005,0.006959844978024748
24507,364,1.6873626373626376,1.6603311622219326,0.02703147514070503,0.016019955960951855,0.005,0.006959844978024748
25551,364,2.125824175824176,2.0989880461679453,0.0268361296562305,0.012623870761007886,0.005,0.006959844978024748
30252,365,1.6312328767123287,1.6048199710129978,0.02641290569933097,0.01619198955367115,0.005,0.006959844978024748
31909,365,1.2964383561643837,1.2712570897314366,0.025181266432947158,0.019423419797180288,0.005,0.006959844978024748
34172,364,1.0324175824175823,1.0073177194651048,0.02509986295247746,0.024311735270627452,0.005,0.024617942619403248
31369,365,1.409041095890411,1.3847947721678304,0.02424632372258051,0.017207676762088054,0.005,0.006959844978024748
27595,365,0.8517808219178081,0.8280568023407928,0.02372401957701531,0.027852258429110932,0.005,0.02453290071255411
32061,364,1.2678571428571428,1.2448643123123355,0.022992830544807275,0.018135190288862076,0.005,0.006959844978024748
24817,365,1.7164383561643837,1.695440514693164,0.020997841471219747,0.01223337930885109,0.005,0.006959844978024748
37031,365,0.8082191780821918,0.7885444825964906,0.01967469548570122,0.024343267295867613,0.005,0.011066208937706826
36034,365,1.4816438356164385,1.4650469078613473,0.01659692775509125,0.011201698651272756,0.005,0.006959844978024748
32165,365,0.8424657534246576,0.8264299590203732,0.016035794404284376,0.019034357585573324,0.005,0.010553688549285987
31088,365,0.9997260273972604,0.984003859577152,0.01572216782010838,0.015726476443791607,0.005,0.006959844978024748
35121,365,0.9882191780821917,0.9732412989817762,0.014977879100415481,0.015156434354454257,0.005,0.01832140162671291
31960,365,1.3572602739726027,1.3427314385843194,0.014528835388283312,0.010704531523462674,0.005,0.006959844978024748
23884,365,1.4761643835616438,1.4618200375777606,0.014344345983883233,0.009717309361762027,0.005,0.006959844978024748
29263,364,1.2057692307692307,1.1914651309331918,0.014304099836038864,0.011863049305805756,0.005,0.006959844978024748
28661,365,0.8473972602739724,0.8347319134217304,0.012665346852242076,0.014946173944611571,0.005,0.01322679464789597
32411,365,1.2542465753424659,1.2418840483163023,0.012362527026163583,0.009856536401375508,0.005,0.006959844978024748
23631,365,0.942191780821918,0.9302452030638874,0.011946577758030652,0.012679560574821712,0.005,0.007382070547686648
34861,365,0.575890410958904,0.5640785665054844,0.011811844453419651,0.02051057671502461,0.005,0.006959844978024748
24641,364,1.320054945054945,1.3090870056181743,0.010967939436770768,0.008308699177907513,0.005,0.020051893569240288
23804,365,0.682191780821918,0.6721369717128206,0.010054809109097396,0.014738977208114653,0.005,0.007688865872306568
23955,365,1.3512328767123285,1.341749462706981,0.009483414005347468,0.007018341670624141,0.005,0.006959844978024748
23933,365,0.9767123287671233,0.967946656895291,0.008765671871832303,0.008974671060922274,0.005,0.006959844978024748
34824,365,0.7293150684931509,0.720960404454178,0.008354664038972892,0.01145549351699889,0.005,0.018200592186209827
23405,365,0.9263013698630135,0.918808653824548,0.007492716038465463,0.008088853457674933,0.005,0.006959844978024748
31253,337,1.1477744807121661,1.1404660849536985,0.007308395758467645,0.006367449251819019,0.005,0.006959844978024748
