station,rp5_mean,rp5_std,hydromet_mean,baseline_mae_train,baseline_bias_train,n_train,mae_base_mode_warm,mae_base_mode_cold,bias_base_mode_warm,bias_base_mode_cold,calib_mae_model,calib_mae_base,calib_bias_model,calib_gain_mean,n_calib,calib_gain_mode_warm,calib_gain_mode_cold,calib_mae_model_mode_warm,calib_mae_model_mode_cold,calib_mae_base_mode_warm,calib_mae_base_mode_cold,mae_year_mean,mae_year_std,mae_year_max,bias_year_std,years_count,cluster_id_v3
23205,-4.824814126394052,10.680686718120786,-4.8030669144981415,0.8735130111524163,-0.02174721189591077,2152,0.6396449704142012,1.0818980667838314,-0.026035502958579888,-0.017926186291739876,1.0531410184942804,1.0483516483516482,0.20102208238421257,-0.004789370142632138,364,-0.010545568431784145,0.003422806083224722,0.790919400207485,1.4272438605834419,0.7803738317757009,1.4306666666666665,0.89361380274572,0.22388785914093387,1.1512820512820512,0.06130075335285218,8,0
23324,-2.06948708348933,13.268678209309739,-2.1348558592287534,0.9084238113066267,0.06536877573942343,2671,0.7183608640406608,1.181130355515041,0.049999999999999975,0.08742023701002737,1.1195326635860903,1.0906849315068494,0.20405121931123657,-0.02884773207924087,365,-0.017547732492948,-0.044862301029351286,0.7296972652032283,1.6720146189101461,0.7121495327102804,1.6271523178807947,0.903961386443179,0.21939903445332828,1.1491573033707865,0.21872867049826225,8,0
23405,0.16099264705882355,12.015357821644143,0.10455882352941177,0.7545955882352942,0.056433823529411745,2720,0.6200374531835207,0.9474060822898033,0.03913857677902621,0.08121645796064397,0.9299614440235198,0.9263013698630136,0.30797653492346355,-0.0036600741605060847,365,-0.02116920096054729,0.021154185013062248,0.7146271448857809,1.2351372057154142,0.6934579439252336,1.2562913907284765,0.7529544667320465,0.17726509138070892,0.9159340659340659,0.17055709708345929,8,0
23418,-0.020128479657387566,12.96890583878956,-0.008529621698786585,0.8157387580299786,-0.011598857958600984,2802,0.6574228028503564,1.0542039355992845,-0.004809976247030875,-0.02182468694096598,1.0832323209960193,1.0747252747252747,0.21683153538602648,-0.008507046270744556,364,-0.0031454883299324027,-0.016156202266303227,0.7512763294514277,1.55682286893297,0.7481308411214953,1.5406666666666666,0.8144903589672128,0.18662222282016813,1.023287671232877,0.024586069016928908,8,0
23631,-1.6757959602875727,14.280231555507115,-1.6649092776446421,0.9198219787743924,-0.010886682642930514,2921,0.7801870251315021,1.1172727272727274,-0.007188778492109891,-0.01611570247933885,0.9345444544688608,0.9421917808219179,0.04286505402888691,0.0076473263530571324,365,0.02267275277697091,-0.0136469865920922,0.8647104247931224,1.0335145362609666,0.8873831775700934,1.0198675496688743,0.9198956793543309,0.17057828335889633,1.1153424657534248,0.019524539001751454,8,0
23711,-2.850908221797323,11.929525806808618,-2.9064053537284895,0.864961759082218,0.05549713193116631,2092,0.7272820512820513,0.9851387645478963,0.05733333333333333,0.053894359892569306,0.9343775507769778,0.9139726027397261,0.2913894106409742,-0.02040494803725168,365,-0.044937437717045545,0.014362951244045578,0.8804514564086343,1.0108026116698619,0.8355140186915888,1.0251655629139074,0.881613501243055,0.2240724067363634,1.0511945392491469,0.23263559884473367,8,0
23724,0.37584541062801935,13.02994566141231,0.44328502415458937,0.8078260869565218,-0.06743961352657002,2070,0.71248,0.9531707317073171,-0.010559999999999979,-0.1541463414634146,1.0641961768844916,1.0712328767123287,0.31646169851393724,0.007036699827837007,365,0.02428526349929288,-0.017408284448266018,0.7448736150053801,1.516746032792637,0.769158878504673,1.4993377483443708,0.855574377697465,0.17960784891257084,1.1351351351351353,0.1658532648673382,8,0
23804,2.274763074763075,11.527871017904122,2.1322569322569325,0.7663741663741664,0.14250614250614252,2849,0.6532031726662598,0.9196694214876032,0.2,0.06462809917355371,0.688470979119549,0.6821917808219179,0.059841817606508356,-0.006279198297631143,365,-0.01715816422311206,0.00913867394112989,0.5830460146904018,0.837881193608539,0.5658878504672898,0.847019867549669,0.7682297514784041,0.1938397037617033,0.9547945205479452,0.07074417959716954,8,0
23921,-3.076823176823177,12.514403986771812,-3.0623876123876124,0.9578921078921079,-0.01443556443556445,2002,0.7447284345047923,1.146190028222013,-0.02396166134185305,-0.006020696142991549,1.3684679090487306,1.3782967032967033,0.5239510929180711,0.009828794247972594,364,0.015858872136262664,0.001225883127345427,0.9177859876768213,2.0114407835393213,0.933644859813084,2.0126666666666666,0.9914508844589799,0.21880813786414108,1.1294117647058823,0.044709504702868864,8,0
23933,0.2621149897330595,14.244196114467195,0.06522929500342232,0.9452772073921971,0.1968856947296372,2922,0.7871495327102803,1.16900826446281,0.19404205607476638,0.20090909090909084,0.9629931958693985,0.9767123287671233,0.045121756409524524,0.013719132897724742,365,0.020347603524177697,0.004325141413877506,0.7478766955412428,1.2678602890496986,0.7682242990654204,1.272185430463576,0.9452785575267609,0.18126216141340057,1.1676712328767123,0.049602461574301794,8,0
