station,status,n_test,baseline_RMSE,baseline_MAE,loso_RMSE,loso_MAE,loso_RMSE_gain_vs_baseline,loso_MAE_gain_vs_baseline
24959,ok,730,1.682215597082756,1.2472602739726026,1.661428629404929,1.2307897873720706,0.02078696767782695,0.016470486600532075
27648,ok,728,1.166567238044649,0.8991758241758242,1.1562447846128987,0.8830469368841208,0.010322453431750311,0.016128887291703364
30777,ok,730,1.6864975459818314,1.2578082191780822,1.6650706462964364,1.2416902896599071,0.021426899685395018,0.016117929518175034
31873,ok,730,1.7620310509913082,1.3091780821917807,1.737367163954764,1.2930714913743409,0.024663887036544097,0.016106590817439814
30710,ok,730,1.8386005696709984,1.3639726027397259,1.8124592476679375,1.348026825797342,0.026141322003060852,0.01594577694238386
21946,ok,730,2.0652805043489457,1.5604109589041095,2.03570848202869,1.5445686738670816,0.029572022320255797,0.015842285037027892
28224,ok,728,1.159220086433637,0.9010989010989011,1.1492095325106615,0.8852800882782194,0.010010553922975562,0.01581881282068176
31594,ok,730,1.8823804515515883,1.4283561643835616,1.8444301026294088,1.4132412104364103,0.03795034892217952,0.015114953947151344
24266,ok,720,2.700408919651491,1.9531944444444447,2.686601553134745,1.9383449495955978,0.013807366516745745,0.0148494948488469
28434,ok,728,2.193381027015217,1.5015109890109888,2.1798859955841396,1.4867514286366172,0.013495031431077553,0.014759560374371539
31909,ok,730,1.5616113911553993,1.1553424657534246,1.5464432176282559,1.1432382438150042,0.015168173527143392,0.012104221938420423
31369,ok,730,1.6466653725985338,1.2802739726027397,1.6350390764503855,1.2683935877387347,0.011626296148148363,0.011880384864005
32061,ok,729,1.6359934666039835,1.2423868312757202,1.6174562107236656,1.2311727474436909,0.01853725588031785,0.011214083832029376
29263,ok,729,1.4464278879766521,1.0455418381344308,1.4315158098391338,1.0345866537477568,0.01491207813751827,0.010955184386673977
23472,ok,730,1.9903018288347658,1.4593150684931506,1.9806516811750037,1.4485881587008196,0.009650147659762132,0.01072690979233104
32098,ok,730,1.9041411251946465,1.3983561643835618,1.8844120411009295,1.3877881572679107,0.019729084093716986,0.01056800711565109
25563,ok,730,2.9951170306679606,2.1264383561643836,2.973233920648944,2.1162453090780984,0.02188311001901644,0.010193047086285212
28275,ok,729,1.2992242066304993,0.9613168724279835,1.2858730566129917,0.9528302896944474,0.01335115001750764,0.008486582733536085
23418,ok,730,1.4298194157458612,0.9813698630136986,1.4253035768972442,0.9734315836312701,0.00451583884861706,0.007938279382428415
