station,n_calib,mae_model,mae_baseline,mae_seasonal,best_fallback,fallback_mae,use_fallback,calib_margin_to_fallback
30372,365,1.6247655574340145,1.6578082191780823,1.6166974415463555,seasonal,1.6166974415463555,1,0.008068115887658989
29866,293,1.4200430467000882,1.4860068259385668,1.412652766872268,seasonal,1.412652766872268,1,0.007390279827820256
31416,365,1.6582007177232543,1.692602739726028,1.6527879241055798,seasonal,1.6527879241055798,1,0.0054127936176744385
29570,365,1.244606285599405,1.4216438356164383,1.23929645143358,seasonal,1.23929645143358,1,0.005309834165824867
29263,364,1.1929101664032136,1.2057692307692307,1.1877276032451876,seasonal,1.1877276032451876,1,0.00518256315802601
30636,364,1.5524945900126252,1.5796703296703296,1.5475708376377972,seasonal,1.5475708376377972,1,0.004923752374828005
31707,365,1.1900796558679883,1.232602739726027,1.185875864354936,seasonal,1.185875864354936,1,0.004203791513052169
31594,365,1.4567136771914118,1.4994520547945205,1.4525209079799652,seasonal,1.4525209079799652,1,0.004192769211446512
31168,365,1.220701669205924,1.2580821917808218,1.2166016087934877,seasonal,1.2166016087934877,1,0.004100060412436379
32061,364,1.243434539077174,1.2678571428571428,1.2393806042584554,seasonal,1.2393806042584554,1,0.004053934818718519
31369,365,1.3763756589502836,1.409041095890411,1.3724660305465406,seasonal,1.3724660305465406,1,0.003909628403742982
30673,365,1.509112578959217,1.5561643835616439,1.5057113046002686,seasonal,1.5057113046002686,1,0.003401274358948436
30521,365,1.3680024730262017,1.4043835616438354,1.3654864598149534,seasonal,1.3654864598149534,1,0.0025160132112482803
31510,365,1.000485804224744,1.0249315068493152,0.9984722784350109,seasonal,0.9984722784350109,1,0.0020135257897331282
29612,364,1.0169355006190097,1.048901098901099,1.0150865176008776,seasonal,1.0150865176008776,1,0.0018489830181320777
24817,365,1.6983357431855026,1.7164383561643837,1.6968161079957078,seasonal,1.6968161079957078,1,0.0015196351897948102
30925,365,1.1763245049334605,1.2112328767123288,1.17481362890968,seasonal,1.17481362890968,1,0.0015108760237805274
24343,363,1.3221921991060352,1.3575757575757577,1.321234204604338,seasonal,1.321234204604338,1,0.0009579945016973124
34172,364,1.0324175824175823,1.0324175824175823,1.0316732644164204,seasonal,1.0316732644164204,1,0.0007443180011619255
20674,365,0.7863013698630137,0.7863013698630137,0.8558656823019397,baseline,0.7863013698630137,1,0.0
37472,364,0.6186813186813187,0.6186813186813187,0.6284973585884441,baseline,0.6186813186813187,1,0.0
20891,365,1.3630136986301367,1.3630136986301367,1.3833158175345046,baseline,1.3630136986301367,1,0.0
27612,365,0.3400000000000001,0.3400000000000001,0.3966444399511694,baseline,0.3400000000000001,1,0.0
28698,365,0.9041095890410958,0.9041095890410958,0.9560305107620641,baseline,0.9041095890410958,1,0.0
28661,365,0.8473972602739724,0.8473972602739724,0.8631005444975294,baseline,0.8473972602739724,1,0.0
27823,365,0.8172602739726026,0.8172602739726026,0.8708596946412921,baseline,0.8172602739726026,1,0.0
22802,365,0.3624657534246576,0.3624657534246576,0.4187995015118226,baseline,0.3624657534246576,1,0.0
22217,365,0.6638356164383561,0.6638356164383561,0.7489550324708074,baseline,0.6638356164383561,1,0.0
