station,n,baseline_mae,xgb_mae,gain,alpha
31369,365,1.409041095890411,1.3930414227814707,0.015999673108940238,0.011355008136813508
31909,365,1.2964383561643837,1.28049583957033,0.015942516594053657,0.012297165166588301
31329,365,1.0575342465753426,1.0421592680150518,0.015374978560290797,0.014538515996129897
29263,364,1.2057692307692307,1.1920412645357978,0.013727966233432864,0.011385235153724227
30230,365,1.2435616438356165,1.2300256718470626,0.013535971988553941,0.010884841982423855
22550,365,0.717808219178082,0.7051069211939427,0.012701297984139326,0.017694556351949827
27595,365,0.8517808219178081,0.8397931684349498,0.011987653482858351,0.014073636285761656
23891,364,1.4549450549450547,1.443221850083261,0.011723204861793679,0.00805748974639898
30777,365,1.286301369863014,1.2751204675247203,0.011180902338293608,0.008692288292816116
29282,365,1.2978082191780822,1.2871122948376283,0.010695924340453855,0.008241529204698454
25703,364,2.1123626373626374,2.102015066949221,0.010347570413416385,0.004898576707612907
28224,321,1.0457943925233646,1.0371495455967676,0.00864484692659695,0.008266296882447484
27459,365,0.9583561643835615,0.9497568404113185,0.008599323972243056,0.008972993853255333
31532,365,1.552876712328767,1.5443689355866548,0.008507776742112227,0.005478720026236703
30054,365,1.0723287671232877,1.064640438201493,0.007688328921794829,0.007169749760999266
23921,364,1.3782967032967033,1.3707533192114678,0.007543384085235472,0.005472975497360398
30252,365,1.6312328767123287,1.6251508400538195,0.00608203665850926,0.003728490729519449
23631,365,0.942191780821918,0.9362788771011241,0.005912903720793894,0.006275690195085114
24951,365,1.5734246575342465,1.5684915705229323,0.00493308701131423,0.003135254673741414
31253,337,1.1477744807121661,1.1442732836266298,0.0035011970855363117,0.0030504224866228983
27333,253,1.066403162055336,1.063399571075616,0.0030035909797201388,0.002816562334578188
23955,365,1.3512328767123285,1.3483639635370204,0.00286891317530813,0.0021231818917020837
32411,365,1.2542465753424659,1.2518874016444974,0.002359173697968453,0.001880948885448854
24738,364,1.4505494505494505,1.448783457788874,0.0017659927605764292,0.0012174647061549625
28275,365,1.067945205479452,1.0665075803397555,0.0014376251396965856,0.0013461600204957766
23724,365,1.0712328767123287,1.0708329632306752,0.00039991348165346885,0.0003733207693184556
24959,365,1.2219178082191782,1.2219759505538093,-5.814233463108387e-05,0.0
22887,364,0.9054945054945056,0.9059241716596451,-0.0004296661651395084,0.0
20891,365,1.3630136986301367,1.3639506254743223,-0.0009369268441856704,0.0
24817,365,1.7164383561643837,1.7191438381394295,-0.0027054819750458314,0.0
27648,365,0.9419178082191783,0.9454131453188314,-0.0034953370996531063,0.0
27947,327,1.0553516819571866,1.0590803585627573,-0.0037286766055706355,0.0
24944,364,1.3057692307692306,1.3096475301095498,-0.0038782993403192467,0.0
35121,365,0.9882191780821917,0.9921094566680593,-0.003890278585867546,0.0
23933,365,0.9767123287671233,0.9806223625730569,-0.003910033805933577,0.0
34172,364,1.0324175824175823,1.0376529642715948,-0.005235381854012511,0.0
23205,364,1.0483516483516482,1.0543339579724347,-0.005982309620786497,0.0
22641,365,0.9123287671232877,0.9185081823088534,-0.006179415185565751,0.0
23418,364,1.074725274725275,1.0814774987789302,-0.006752224053655276,0.0
28064,365,0.9076712328767123,0.9144968061006232,-0.0068255732239109745,0.0
32165,365,0.8424657534246576,0.849430505335331,-0.006964751910673472,0.0
23405,365,0.9263013698630135,0.9344963726033901,-0.008195002740376656,0.0
24641,364,1.320054945054945,1.3286244992698943,-0.008569554214949315,0.0
34123,365,0.6342465753424658,0.6442755986790951,-0.010029023336629361,0.0
22583,365,0.886027397260274,0.8962070596156871,-0.010179662355413122,0.0
29430,365,0.6326027397260273,0.6430187614404992,-0.010416021714471868,0.0
23804,365,0.682191780821918,0.6964993041095465,-0.01430752328762852,0.0
28411,327,0.9865443425076453,1.0034522022129198,-0.01690785970527442,0.0
28661,365,0.8473972602739724,0.8649330203112675,-0.017535760037295067,0.0
32389,365,1.043013698630137,1.060709103776576,-0.01769540514643886,0.0
