station,n,baseline_mae,ridge_mae,gain,alpha
23205,364,1.0483516483516482,1.047642214035295,0.0007094343163531747,0.000676714075347368
23405,365,0.9263013698630135,0.9260407898377908,0.00026058002522266754,0.00028131236085854387
34123,365,0.6342465753424658,0.6340779183054779,0.0001686570369878737,0.0002659171425510752
23921,364,1.3782967032967033,1.3784364789690673,-0.00013977567236400645,0.0
24507,364,1.6873626373626376,1.6888130614777666,-0.0014504241151289676,0.0
23891,364,1.4549450549450547,1.456919542707676,-0.001974487762621324,0.0
28275,365,1.067945205479452,1.0712574073255665,-0.003312201846114471,0.0
29430,365,0.6326027397260273,0.6367347468027345,-0.004132007076707134,0.0
21982,365,1.2167123287671233,1.2213032100688295,-0.004590881301706151,0.0
22550,365,0.717808219178082,0.7233994621833841,-0.005591243005302116,0.0
23711,365,0.9139726027397261,0.9196804901905072,-0.005707887450781102,0.0
24951,365,1.5734246575342465,1.57920480067744,-0.005780143143193417,0.0
24266,365,2.0021917808219176,2.0080024973239077,-0.005810716501990054,0.0
28064,365,0.9076712328767123,0.9137142676428911,-0.006043034766178845,0.0
22887,364,0.9054945054945056,0.9120918620395949,-0.006597356545089306,0.0
30230,365,1.2435616438356165,1.250574050446531,-0.007012406610914512,0.0
22641,365,0.9123287671232877,0.9194492923549006,-0.007120525231612884,0.0
37472,364,0.6186813186813187,0.6265022217694696,-0.007820903088150866,0.0
23724,365,1.0712328767123287,1.079243355388042,-0.008010478675713362,0.0
27459,365,0.9583561643835615,0.9674193211920556,-0.009063156808494122,0.0
22583,365,0.886027397260274,0.8981087368103408,-0.012081339550066739,0.0
20891,365,1.3630136986301367,1.3759909445724057,-0.012977245942269011,0.0
34880,365,0.4734246575342466,0.48708002020532776,-0.01365536267108114,0.0
34009,327,0.9467889908256881,0.9612390236173753,-0.014450032791687217,0.0
24944,364,1.3057692307692306,1.3205505469204253,-0.014781316151194712,0.0
35121,365,0.9882191780821917,1.004128449339383,-0.015909271257191215,0.0
32389,365,1.043013698630137,1.0599434240660563,-0.016929725435919307,0.0
22113,365,1.258082191780822,1.2761503154535991,-0.018068123672777103,0.0
23418,364,1.074725274725275,1.092891294939137,-0.018166020213862044,0.0
28698,365,0.9041095890410958,0.9239476842128086,-0.019838095171712755,0.0
31388,354,1.2522598870056498,1.2723872368776326,-0.020127349871982725,0.0
23804,365,0.682191780821918,0.7044663695653525,-0.022274588743434465,0.0
34646,327,0.8348623853211009,0.8573934042074501,-0.02253101888634923,0.0
23324,365,1.0906849315068494,1.1136392874646355,-0.022954355957786055,0.0
