station,month,n,baseline_mae,xgb_mae,gain,alpha,is_eligible
24966,4,29,2.0275862068965513,1.9181409492574888,0.10944525763906254,0.053978103257360785,1
30054,1,31,1.509677419354839,1.4004659468127838,0.10921147254205521,0.07234093266674596,1
29866,3,19,1.5947368421052632,1.485573440633322,0.10916340147194115,0.06845229795270237,1
24738,11,30,1.7300000000000002,1.62115238904953,0.10884761095047013,0.0629176941910232,1
21982,10,31,0.9580645161290322,0.8492769014450812,0.10878761468395104,0.11354936212802971,1
24641,8,31,0.9419354838709676,0.8337802333216512,0.1081552505493164,0.11482235503523319,1
30636,6,30,1.313333333333333,1.2061853567759195,0.10714797655741348,0.08158475372391892,1
30925,4,30,1.3466666666666665,1.2400421443581577,0.10662452230850872,0.0791766254766154,1
34646,12,31,1.106451612903226,1.0006200269585657,0.10583158594466036,0.0956495383173315,1
29866,2,15,1.7733333333333334,1.667636092292766,0.10569724104056744,0.05960370735370344,1
34391,7,31,0.829032258064516,0.7233915267452117,0.10564073131930429,0.12742656306997796,1
30965,5,31,1.3806451612903228,1.2753199654240759,0.10532519586624689,0.07628694093116012,1
24944,9,30,0.9700000000000001,0.8661016605297723,0.10389833947022775,0.10711169017549252,1
25551,10,31,2.4580645161290318,2.3547772331583885,0.10328728297064327,0.04201976078858192,1
24966,5,31,0.9548387096774191,0.8517787379603233,0.1030599717170958,0.10793442983885036,1
30949,4,30,1.2,1.0971309027075766,0.10286909729242333,0.08572424774368612,1
31416,4,30,1.97,1.8671727991104126,0.10282720088958741,0.05219654867491747,1
30372,7,31,0.938709677419355,0.8361849507977887,0.10252472662156631,0.10921878093706375,1
28138,7,27,2.5444444444444447,2.441999979372378,0.10244446507206684,0.04026201684055028,1
30710,4,30,0.8766666666666667,0.7747184797128042,0.10194818695386254,0.11629070755193445,1
34861,1,31,0.5129032258064516,0.4112208148164134,0.10168241099003822,0.19824872582963424,1
29838,8,31,1.0935483870967742,0.9918681052423292,0.101680281854445,0.09298196865745709,1
34172,2,28,1.3464285714285713,1.2449024579354695,0.10152611349310181,0.07540401002140189,1
26063,8,31,0.5677419354838712,0.4669129340879377,0.10082900139593348,0.1775965365496555,1
30965,4,30,1.7333333333333334,1.6330188803871473,0.10031445294618613,0.05787372285356892,1
24641,3,31,1.654838709677419,1.555179100651895,0.09965960902552418,0.06022315555148636,1
30823,4,30,1.3966666666666667,1.2971569560468197,0.09950971061984704,0.0712480028304394,1
31329,4,30,1.2,1.1008475242058435,0.09915247579415642,0.08262706316179702,1
31416,1,31,2.029032258064516,1.9299231498472147,0.09910910821730123,0.04884550643459998,1
31707,4,30,1.4599999999999997,1.3615344472726187,0.098465552727381,0.06744215940231577,1
27648,8,31,0.9451612903225803,0.8477019894507624,0.09745930087181798,0.10311393607598493,1
24343,6,30,0.7400000000000002,0.6432709217071533,0.09672907829284694,0.13071497066600934,1
31388,3,31,1.6161290322580646,1.5199074743255494,0.09622155793251519,0.05953828933948045,1
27595,1,31,1.4677419354838712,1.371608854109241,0.09613308137463017,0.0654972642332645,1
31532,4,30,1.943333333333333,1.8475583872695767,0.09577494606375625,0.049283848746358286,1
29866,4,20,1.36,1.264329944252968,0.09567005574703202,0.07034562922575884,1
27459,1,31,1.2387096774193553,1.1430848160097677,0.09562486140958759,0.07719715374211496,1
31915,1,31,1.5129032258064519,1.4175081806798135,0.09539504512663832,0.06305429422016605,1
35121,7,31,0.8645161290322579,0.7695347939768146,0.09498133505544337,0.10986646965368452,1
29231,5,31,1.5677419354838709,1.4730621061017437,0.09467982938212716,0.06039248376226218,1
28411,2,21,1.228571428571429,1.1342807088579454,0.09429071971348368,0.07674826023190529,1
29231,1,31,1.8935483870967742,1.7997841435094035,0.09376424358737068,0.04951774363217191,1
32061,3,31,2.1580645161290315,2.0643118027717837,0.09375271335724777,0.0434429613464078,1
31416,5,31,1.1387096774193548,1.0460768092543848,0.09263286816496996,0.08134897770861385,1
31388,8,20,0.6050000000000005,0.5126505851745609,0.09234941482543968,0.1526436608684952,1
29282,7,31,0.7612903225806454,0.6691961349979524,0.09209418758269305,0.1209711786043849,1
28434,6,30,1.1,1.008083604176839,0.09191639582316102,0.08356035983923729,1
31168,7,31,0.9322580645161287,0.8411405686409241,0.09111749587520457,0.09773849038516756,1
34646,6,30,0.5200000000000004,0.4290572230021161,0.09094277699788428,0.17488995576516195,1
24908,6,30,1.22,1.1292222086588544,0.09077779134114561,0.07440802568946361,1
30230,5,31,0.8741935483870966,0.7838687512182422,0.09032479716885444,0.10332356871713978,1
29263,7,31,0.7967741935483869,0.7064721630465599,0.09030203050182695,0.1133345322087707,1
26063,3,31,0.5903225806451612,0.5000565562517413,0.09026602439341991,0.15290965880852556,1
28722,8,31,1.1774193548387093,1.0872099230366365,0.09020943180207275,0.07661622974970565,1
24966,9,30,1.903333333333333,1.8134056345621745,0.08992769877115858,0.047247477462955476,1
30521,6,30,0.9733333333333332,0.883569310506185,0.08976402282714813,0.09222331112378233,1
31004,7,31,0.9387096774193546,0.8489716622137254,0.08973801520562918,0.0955971983290208,1
30555,9,30,8.316666666666666,8.227260160446168,0.08940650622049873,0.010750281309078003,1
31388,6,30,0.7566666666666663,0.667276299794515,0.0893903668721513,0.11813704872971544,1
24507,7,31,0.9709677419354834,0.8818979509415166,0.08906979099396684,0.09173300733597918,1
28434,7,31,0.9096774193548386,0.8207976125901744,0.08887980676466423,0.09770475211718409,1
30965,7,31,0.983870967741935,0.8951154770389675,0.08875549070296751,0.09021049874727849,1
26063,4,30,0.5466666666666667,0.45791173060735063,0.08875493605931611,0.16235659035240751,1
31594,12,31,1.9709677419354834,1.8825074118952598,0.08846033004022358,0.04488167317916418,1
24966,8,31,1.6483870967741936,1.5602458000183106,0.088141296755883,0.05347123677949849,1
20891,11,30,1.8733333333333333,1.7852253150939943,0.088108018239339,0.04703274994982509,1
30673,4,30,1.4366666666666668,1.3493045313159624,0.08736213535070436,0.06080891091696359,1
30777,4,30,1.2566666666666668,1.1700172736247378,0.08664939304192898,0.06895177165140236,1
25703,2,28,2.5642857142857145,2.477806745256697,0.08647896902901753,0.033724389036385666,1
30673,9,30,1.3766666666666663,1.290193066596985,0.0864736000696813,0.06281375307725036,1
21946,7,31,1.4709677419354839,1.3845567503283098,0.08641099160717403,0.05874431446978936,1
29838,5,31,1.8806451612903228,1.7945650008416942,0.08608016044862854,0.04577161190235823,1
32098,10,31,1.7516129032258065,1.665731781384637,0.08588112184116947,0.049029738067702645,1
