station,baseline_mae,ridge_mae,gain
32411,1.2542465753424659,1.2480127664229665,0.006233808919499317
23472,1.5046575342465756,1.499023288737247,0.0056342455093285615
34861,0.575890410958904,0.5702995491142863,0.005590861844617767
23631,0.942191780821918,0.9367259156545319,0.005465865167386119
30252,1.6312328767123287,1.6267979774218786,0.004434899290450156
27199,0.8153424657534247,0.8134321215511363,0.0019103442022884165
31532,1.552876712328767,1.5511339682501009,0.0017427440786661474
23205,1.0483516483516482,1.0477290550464322,0.0006225933052159682
23405,0.9263013698630135,0.9261200155864627,0.0001813542765507492
34123,0.6342465753424658,0.6341411036571966,0.00010547168526919837
23921,1.3782967032967033,1.37847256278563,-0.00017585948892673287
24507,1.6873626373626376,1.6890081955507088,-0.0016455581880712167
23891,1.4549450549450547,1.4570221470358815,-0.0020770920908268486
28275,1.067945205479452,1.0713410075735754,-0.003395802094123379
29430,0.6326027397260273,0.6368329902311918,-0.004230250505164457
21982,1.2167123287671233,1.2214727837453911,-0.004760454978267825
22550,0.717808219178082,0.7234941638082257,-0.005685944630143713
23711,0.9139726027397261,0.9198106864991168,-0.005838083759390655
24951,1.5734246575342465,1.5793888792312205,-0.00596422169697397
24266,2.0021917808219176,2.0082209630945216,-0.006029182272603961
28064,0.9076712328767123,0.9138016762858372,-0.006130443409124942
22887,0.9054945054945056,0.9121645768111648,-0.0066700713166591985
30230,1.2435616438356165,1.2507532619906239,-0.007191618155007351
22641,0.9123287671232877,0.9195275688267224,-0.007198801703434676
37472,0.6186813186813187,0.626514713631457,-0.00783339495013835
23724,1.0712328767123287,1.0793019027744113,-0.008069026062082596
27459,0.9583561643835615,0.9674533318105913,-0.009097167427029818
22583,0.886027397260274,0.8982162723530558,-0.01218887509278177
20891,1.3630136986301367,1.3761103204562655,-0.013096621826128807
34880,0.4734246575342466,0.4871841529635849,-0.013759495429338298
24944,1.3057692307692306,1.3206711404438718,-0.014901909674641223
35121,0.9882191780821917,1.0042608273742488,-0.016041649292057092
32389,1.043013698630137,1.059989377247861,-0.016975678617723977
22113,1.258082191780822,1.2762324305360118,-0.01815023875518973
23418,1.074725274725275,1.0929938214466857,-0.01826854672141076
28698,0.9041095890410958,0.9240085062624839,-0.019898917221388035
31388,1.2522598870056498,1.2725509244089883,-0.020291037403338485
23804,0.682191780821918,0.7045896409116081,-0.022397860089690136
23324,1.0906849315068494,1.1137458666210518,-0.023060935114202374
27648,0.9419178082191783,0.9679384084231766,-0.026020600203998323
20674,0.7863013698630137,0.8132612003554464,-0.026959830492432668
28661,0.8473972602739724,0.8744722019187419,-0.027074941644769424
22602,0.6175342465753424,0.6459389128527198,-0.028404666277377366
27612,0.3400000000000001,0.3701241737659973,-0.030124173765997242
27333,1.066403162055336,1.0982808501892236,-0.03187768813388758
26477,0.3826923076923077,0.41577768709241913,-0.033085379400111414
30758,0.9413698630136985,0.9759283742766752,-0.03455851126297671
22802,0.3624657534246576,0.39785539231267536,-0.03538963888801777
28493,1.0054794520547945,1.0411948540554192,-0.03571540200062473
32165,0.8424657534246576,0.879672538453637,-0.03720678502897945
27037,0.6586301369863014,0.6985994687662228,-0.03996933177992146
26258,0.6767123287671234,0.7170095171254148,-0.040297188358291436
22820,0.45999999999999996,0.502070481420601,-0.04207048142060099
27823,0.8172602739726026,0.8603485868093694,-0.04308831283676684
24738,1.4505494505494505,1.497488924511801,-0.04693947396235054
22217,0.6638356164383561,0.7111734411212821,-0.04733782468292602
24641,1.320054945054945,1.373995305384366,-0.053940360329421067
24125,0.6497252747252746,0.7285141708532101,-0.07878889612793549
33008,0.4208219178082191,0.5008984891146019,-0.0800765713063828
