target_coverage,station_group,month,n,source_main,coverage,mean_width
0.85,1,9,1830,group_month,0.8437158469945355,2.7999999999999976
0.85,1,10,1891,group_month,0.866737176097303,2.7589595608413218
0.85,1,11,1830,group_month,0.8530054644808743,4.0
0.85,1,12,1891,group_month,0.878900052882073,5.084751284122463
0.85,2,1,1922,group_month,0.8241415192507804,6.200492645502095
0.85,2,2,1732,group_month,0.8516166281755196,5.799999999999997
0.85,2,3,1922,group_month,0.8506763787721123,5.661857073903081
0.85,2,4,1860,group_month,0.8494623655913979,4.549391384124756
0.85,2,5,1889,group_month,0.795659078877713,3.6375404971838
0.85,2,6,1854,group_month,0.8112189859762675,3.0
0.85,2,7,1906,group_month,0.8530954879328436,2.947534386515617
0.85,2,8,1891,group_month,0.8461131676361714,3.0
0.85,2,9,1837,group_month,0.8285247686445292,3.719383181706071
0.85,2,10,1921,group_month,0.8552837064029152,4.379531246423723
0.85,2,11,1859,group_month,0.8187197417966648,5.3610908233374355
0.85,2,12,1919,group_month,0.8671182907764461,6.609656968116756
0.85,3,1,1922,group_month,0.8491155046826223,7.809922792911535
0.85,3,2,1736,group_month,0.896889400921659,8.67289896130562
0.85,3,3,1922,group_month,0.8803329864724245,8.200000000000001
0.85,3,4,1860,group_month,0.8758064516129033,6.400000000000001
0.85,3,5,1916,group_month,0.8194154488517745,4.161144549250605
0.85,3,6,1860,group_month,0.8344086021505376,3.932303273677824
0.85,3,7,1909,group_month,0.8789942378208486,3.991197805106637
0.85,3,8,1922,group_month,0.8881373569198752,4.127545583248143
0.85,3,9,1856,group_month,0.849676724137931,4.853525980114938
0.85,3,10,1898,group_month,0.8124341412012644,5.002363803982734
0.85,3,11,1832,group_month,0.8608078602620087,7.4592587032914155
0.85,3,12,1922,group_month,0.8870967741935484,8.645296084880824
0.9,0,1,1984,group_month,0.905241935483871,3.799999999999997
0.9,0,2,1792,group_month,0.9436383928571429,4.052937257289885
0.9,0,3,1984,group_month,0.8840725806451613,2.9687635672092445
0.9,0,4,1920,group_month,0.896875,2.6
0.9,0,5,1976,group_month,0.9068825910931174,2.6000000000000014
0.9,0,6,1920,group_month,0.8807291666666667,2.2818220490217245
0.9,0,7,1984,group_month,0.9102822580645161,2.392392706274982
0.9,0,8,1984,group_month,0.8926411290322581,2.399999999999998
0.9,0,9,1914,group_month,0.8667711598746082,2.2072547610476625
0.9,0,10,1984,group_month,0.9248991935483871,2.5999999999999996
0.9,0,11,1920,group_month,0.896875,2.8
0.9,0,12,1984,group_month,0.8991935483870968,3.600000000000002
0.9,1,1,1891,group_month,0.9423585404547858,6.799999999999997
0.9,1,2,1708,group_month,0.9414519906323185,6.118573760986328
0.9,1,3,1899,group_month,0.9004739336492891,4.6000000000000005
0.9,1,4,1858,group_month,0.8767491926803014,4.0
0.9,1,5,1902,group_month,0.9300736067297581,4.0
0.9,1,6,1860,group_month,0.9155913978494624,3.281376862525939
0.9,1,7,1922,group_month,0.9448491155046826,3.1999999999999997
0.9,1,8,1911,group_month,0.9351125065410779,3.17421973347664
0.9,1,9,1830,group_month,0.8868852459016393,3.1999999999999993
0.9,1,10,1891,group_month,0.9164463246959281,3.2364327095448973
0.9,1,11,1830,group_month,0.8972677595628415,4.985313307046891
0.9,1,12,1891,group_month,0.9201480698043363,6.0
0.9,2,1,1922,group_month,0.8694068678459937,7.261149305105215
0.9,2,2,1732,group_month,0.9018475750577367,6.88143067359924
0.9,2,3,1922,group_month,0.8985431841831426,6.587238589096813
0.9,2,4,1860,group_month,0.8913978494623656,5.2245866142213355
0.9,2,5,1889,group_month,0.8665960825833775,4.4131560766696944
0.9,2,6,1854,group_month,0.8818770226537217,3.6000000000000014
0.9,2,7,1906,group_month,0.9071353620146905,3.5562193202972385
0.9,2,8,1891,group_month,0.8921205711263882,3.490768482834099
0.9,2,9,1837,group_month,0.8818726183995645,4.3956673967838285
0.9,2,10,1921,group_month,0.9042165538781884,5.095160698890687
0.9,2,11,1859,group_month,0.8805809575040344,6.5429232954978955
0.9,2,12,1919,group_month,0.9187076602397082,8.200000000000001
0.9,3,1,1922,group_month,0.8943808532778356,9.046202850341801
0.9,3,2,1736,group_month,0.9285714285714286,9.930333159565919
0.9,3,3,1922,group_month,0.921436004162331,9.517350912094116
0.9,3,4,1860,group_month,0.917741935483871,7.488803268224003
0.9,3,5,1916,group_month,0.8606471816283925,4.69032648846507
0.9,3,6,1860,group_month,0.8881720430107527,4.63471382856369
0.9,3,7,1909,group_month,0.9203771608171818,4.735812436044217
0.9,3,8,1922,group_month,0.9323621227887617,4.893068119883537
0.9,3,9,1856,group_month,0.9078663793103449,5.770875827185809
0.9,3,10,1898,group_month,0.875131717597471,6.0570694100856795
0.9,3,11,1832,group_month,0.9088427947598253,8.713760875463489
0.9,3,12,1922,group_month,0.9287200832466181,10.599053311347967
