station,n_train,rp5_mean,rp5_std,hydromet_mean,baseline_mae,baseline_bias,cluster_id
22887,2785,3.521256732495512,10.993643369727145,3.531131059245961,0.7216876122082586,-0.009874326750448836,1
23804,2849,2.274763074763075,11.527871017904122,2.1322569322569325,0.7663741663741662,0.14250614250614252,1
26063,2922,6.722039698836413,8.945475612933805,7.207426420260095,0.6443189596167008,-0.4853867214236824,1
26258,2758,7.242458303118202,9.002283153206927,7.180058013052936,0.5079405366207397,0.062400290065264714,1
26477,2854,6.950140154169587,9.180149246261992,6.968360196215838,0.350385423966363,-0.01822004204625086,1
27037,2739,4.395618838992333,10.442267584699698,4.357247170500183,0.6539247900693683,0.03837166849215043,1
27199,2903,3.925008611780916,11.41276149188725,3.932965897347571,0.674646916982432,-0.007957285566655179,1
27333,1872,1.3555021367521367,9.78951825846188,1.3424145299145298,0.6178952991452992,0.013087606837606854,1
27459,2922,6.045927446954141,10.59894636260949,5.975154004106777,0.8765229295003422,0.07077344284736482,1
27595,2914,5.4222717913520935,11.887710186192423,5.814070006863418,0.8359986273164035,-0.3917982155113246,1
27612,2085,4.35136690647482,9.790495621398742,4.355587529976019,0.30484412470023975,-0.004220623501199031,1
27648,1673,0.9839210998206813,9.831681454047752,0.9821876867901973,0.6334130304841602,0.0017334130304841571,1
27823,1636,1.1701711491442544,9.971377519395135,1.1925427872860637,0.6443765281173593,-0.022371638141809303,1
28722,2921,4.632557343375557,12.40700660691596,4.621739130434783,0.8953098254022595,0.010818212940773711,1
28900,2837,5.931970391258371,12.216498045726468,6.2959111737751146,0.6492421572083187,-0.36394078251674306,1
29430,741,2.598110661268556,13.327843104980666,2.555465587044534,0.4585695006747639,0.04264507422402158,1
31909,2562,4.565846994535519,10.829231804013673,4.471233411397345,1.0661202185792351,0.09461358313817331,1
31960,2922,5.507118412046543,11.527434669692534,5.530527036276523,1.1660506502395618,-0.023408624229979483,1
32165,2798,5.497355253752681,7.488853841936299,5.548391708363116,0.8552537526804861,-0.05103645461043603,1
33008,2415,10.360745341614907,8.652949142113373,10.481656314699793,0.4260869565217391,-0.12091097308488617,1
34123,2921,8.455083875385142,10.71224761542259,8.46114344402602,0.5768230058199246,-0.006059568640876404,1
34163,2317,4.128182995252482,11.974663264497433,4.109279240397066,0.6796719896417781,0.01890375485541649,1
34172,2393,7.137567906393649,12.290980743113975,7.206268282490597,0.6541579607187631,-0.06870037609694943,1
34391,1615,3.495046439628483,12.358702274730867,3.481857585139319,0.8226006191950465,0.013188854489164095,1
34824,1627,7.82519975414874,9.00430288045125,7.850706822372465,0.51180086047941,-0.025507068223724682,1
34861,2476,10.957956381260097,11.247563386127926,10.508885298869144,0.7887318255250404,0.44907108239095317,1
34880,2182,9.075022914757104,11.32177382174801,9.131209899175069,0.5270394133822182,-0.056186984417965144,1
37031,1755,8.497435897435897,9.087329961411049,8.507749287749288,0.5583475783475784,-0.010313390313390302,1
37235,1335,12.79438202247191,9.452318907681347,12.212209737827715,0.7466666666666666,0.5821722846441948,1
37472,1415,13.004452296819787,9.016842716921735,12.837667844522967,0.39533568904593636,0.1667844522968198,1
22113,2922,1.028713210130048,10.249416462237667,1.8426078028747435,1.100479123887748,-0.8138945927446953,2
22583,2427,0.8817058096415328,11.81273726279031,0.8320148331273176,0.8102183765966213,0.049690976514215085,2
23205,2152,-4.824814126394052,10.680686718120786,-4.8030669144981415,0.8735130111524164,-0.02174721189591077,2
23324,2671,-2.06948708348933,13.268678209309739,-2.1348558592287534,0.9084238113066267,0.06536877573942344,2
23405,2720,0.16099264705882355,12.015357821644143,0.10455882352941177,0.7545955882352942,0.05643382352941175,2
23418,2802,-0.020128479657387566,12.96890583878956,-0.008529621698786585,0.8157387580299785,-0.011598857958600987,2
23631,2921,-1.6757959602875727,14.280231555507115,-1.6649092776446421,0.9198219787743924,-0.010886682642930513,2
23711,2092,-2.850908221797323,11.929525806808618,-2.9064053537284895,0.864961759082218,0.055497131931166316,2
23724,2070,0.37584541062801935,13.02994566141231,0.44328502415458937,0.8078260869565217,-0.06743961352657002,2
23884,2893,-1.3774974075354303,15.403579377381096,-1.364880746629796,1.3334600760456272,-0.012616660905634321,2
23921,2002,-3.076823176823177,12.514403986771812,-3.0623876123876124,0.9578921078921079,-0.014435564435564452,2
23933,2922,0.2621149897330595,14.244196114467195,0.06522929500342232,0.9452772073921971,0.1968856947296372,2
23955,2805,-0.033654188948306595,14.529451901400922,0.0503030303030303,1.2537254901960784,-0.08395721925133691,2
28064,2826,1.8769285208775655,13.425527866414793,1.8887473460721869,0.7392073602264685,-0.011818825194621338,2
28138,2073,-2.5836951278340567,11.4322076209486,-2.562566328991799,0.74876989869754,-0.021128798842257598,2
28224,2279,0.08494953927161038,10.98663074879458,0.09306713470820537,0.7623080298376481,-0.008117595436594984,2
28275,2448,1.106781045751634,13.846376581470594,1.0758169934640522,0.9535947712418299,0.030964052287581697,2
28434,2009,-0.8820308611249378,11.930299346080766,-0.8680935788949726,1.012941762070682,-0.013937282229965174,2
28440,2922,3.1308008213552365,12.27027715444079,3.7029089664613277,1.0736824093086927,-0.5721081451060918,2
28493,2066,-2.494917715392062,13.161762002121524,-2.4760406582768635,0.9230396902226524,-0.018877057115198465,2
28661,2166,-0.08024007386888277,12.997052681977117,-0.08227146814404432,0.8384118190212373,0.0020313942751615643,2
28698,2889,2.5938733125649014,13.992831335873186,2.5831083419868466,1.0089650398061611,0.01076497057805468,2
29231,2823,0.7710591569252567,14.164368526924191,0.8264612114771519,1.3263195182430039,-0.05540205455189516,2
29263,2686,0.7686522710349962,14.528724781258076,0.6629188384214445,1.2871928518242741,0.1057334326135518,2
29282,2838,0.3875968992248062,15.005883271226788,0.4392177589852008,1.309478505990134,-0.05162085976039466,2
29570,1821,2.34497528830313,13.142068316232033,2.995881383855025,1.3573311367380558,-0.6509060955518945,2
29612,2727,1.864943160982765,14.10978972268586,1.769123579024569,1.209057572423909,0.0958195819581958,2
29698,2834,0.6881439661256176,14.095594433531854,0.7094565984474241,1.3858151023288638,-0.021312632321806642,2
29838,2922,3.607837097878166,13.468473217410354,3.333196440793977,1.5111225188227242,0.2746406570841889,2
29866,2698,2.802594514455152,14.07391713180275,2.6893995552260934,1.3326167531504818,0.11319495922905858,2
30710,2922,1.4277549623545516,13.793167203750945,2.1703285420944556,1.3413415468856946,-0.7425735797399042,2
30758,2922,0.0339835728952772,15.412990153364815,-0.16444216290212182,1.3280629705681042,0.19842573579739906,2
30823,2888,0.25536703601108035,16.001213116581685,0.813954293628809,1.3952216066481995,-0.5585872576177285,2
