station,month,n,baseline_mae,ridge_mae,gain,alpha,is_eligible
28900,2,28,0.7535714285714287,0.6477866287391519,0.10578479983227673,0.14037793342671792,1
34861,1,31,0.5129032258064516,0.4072248418771892,0.10567838392926243,0.20603961646585756,1
24959,11,30,1.5266666666666673,1.4218242101886285,0.1048424564780388,0.06867409812971971,1
28434,8,31,1.3096774193548386,1.2049823606159213,0.10469505873891727,0.07993957686961664,1
23891,8,31,1.0225806451612904,0.9183198672798155,0.10426077788147492,0.10195848941090606,1
26063,8,31,0.5677419354838712,0.4635025361099022,0.10423939937396898,0.1836034875336953,1
37235,12,31,0.9032258064516128,0.7993463351128064,0.10387947133880637,0.11500941469653564,1
21946,1,31,2.0322580645161294,1.9286486478444926,0.10360941667163681,0.050982411378106995,1
29612,12,31,1.5096774193548386,1.4063436787572774,0.10333374059756117,0.06844756321633326,1
29866,4,20,1.36,1.257369559815291,0.10263044018470913,0.07546355895934494,1
34172,3,31,1.2580645161290323,1.1554514868266228,0.10261302930240945,0.08156420277883829,1
24966,4,29,2.0275862068965513,1.9250950929078128,0.10249111398873856,0.050548338531860866,1
25551,2,28,2.224999999999999,2.1225551115279147,0.10244488847208455,0.04604264650430768,1
30823,2,28,1.4428571428571426,1.340914400481447,0.10194274237569556,0.07065338580493753,1
29263,8,31,0.8354838709677421,0.7336022041538603,0.10188166681388178,0.12194330776951098,1
23891,4,30,1.6600000000000001,1.558684517637727,0.10131548236227306,0.06103342310980304,1
27648,6,30,0.5666666666666671,0.46585890612062486,0.10080776054604224,0.17789604802242734,1
31329,9,30,0.7000000000000001,0.5993673811515305,0.10063261884846952,0.14376088406924217,1
21946,11,30,1.9700000000000002,1.8705704142656687,0.09942958573433147,0.05047187093113272,1
28434,6,30,1.1,1.0013575233489547,0.09864247665104542,0.08967497877367765,1
24125,6,30,0.6366666666666669,0.5380862625304175,0.09858040413624947,0.15483833110405668,1
21982,11,30,1.5066666666666668,1.4089114691579696,0.09775519750869721,0.06488176825798486,1
24908,7,31,0.9451612903225806,0.8475728266625343,0.09758846366004625,0.10325059295090219,1
24817,4,30,2.3466666666666662,2.2490900229311843,0.09757664373548192,0.04158095613727923,1
25703,2,28,2.5642857142857145,2.4667093205975013,0.09757639368821325,0.03805207553300795,1
24738,7,31,1.1096774193548384,1.0125058164656755,0.09717160288916293,0.08756743283616429,1
28224,8,31,1.3387096774193545,1.2415979002218116,0.09711177719754294,0.07254132754515256,1
37031,6,30,0.73,0.6330553153946714,0.09694468460532857,0.13280093781551858,1
26063,3,31,0.5903225806451612,0.49339222053490983,0.09693036011025136,0.1641989706785679,1
28722,8,31,1.1774193548387093,1.081249087439366,0.0961702673993432,0.08167885724327781,1
25551,3,31,3.4000000000000012,3.3045347862134187,0.09546521378658257,0.028078004054877218,1
28698,5,31,0.7548387096774194,0.6594665648655961,0.09537214481182332,0.12634771321224456,1
24966,11,30,2.6133333333333337,2.5182834827816545,0.09504985055167925,0.03637111628253032,1
31594,5,31,1.2967741935483872,1.2021205326545328,0.09465366089385441,0.07299162904749966,1
29866,5,17,1.1999999999999997,1.1055558081995795,0.09444419180042019,0.07870349316701684,1
30393,1,30,1.6233333333333329,1.528897501829724,0.0944358315036089,0.0581740235135168,1
29231,5,31,1.5677419354838709,1.4734187131462357,0.09432322233763513,0.060165018363512124,1
30521,9,30,1.39,1.2959400205064806,0.0940599794935193,0.06766904999533763,1
28440,5,31,1.2322580645161287,1.1392507670064458,0.09300729750968295,0.0754771262513134,1
23891,6,30,1.0266666666666666,0.9340301141610209,0.09263655250564573,0.09023040828471987,1
24641,3,31,1.654838709677419,1.5626553216615546,0.09218338801586445,0.05570536117917736,1
34172,1,30,1.7133333333333332,1.621183357136868,0.09214997619646526,0.05378403279949334,1
27459,1,31,1.2387096774193553,1.1466664362751782,0.09204324114417717,0.07430574154868466,1
24738,9,30,1.0599999999999998,0.967987395047206,0.09201260495279384,0.08680434429508854,1
31329,5,31,0.8000000000000002,0.7088711572010923,0.09112884279890787,0.11391105349863481,1
23921,8,31,1.1258064516129025,1.0353628858297876,0.09044356578311485,0.08033669166981554,1
28434,7,31,0.9096774193548386,0.8211580734963148,0.08851934585852383,0.09730850076646239,1
30636,8,31,0.9645161290322581,0.8760429727550448,0.0884731562772133,0.09172802155831479,1
31594,10,31,1.3064516129032258,1.2183355315652462,0.08811608133797955,0.06744687707351521,1
37031,7,31,1.5774193548387099,1.4898414066560242,0.08757794818268572,0.05551976265160034,1
22217,1,31,1.4096774193548387,1.3221282709976232,0.0875491483572155,0.06210580318246409,1
25703,11,30,2.9133333333333336,2.8261107535074235,0.08722257982591008,0.029939100626742588,1
30393,9,30,1.2433333333333332,1.1568086110627325,0.0865247222706007,0.06959092944016143,1
24908,4,30,2.4099999999999997,2.3242371358544562,0.08576286414554346,0.03558625068279812,1
31915,4,30,1.4533333333333327,1.3681446668640456,0.08518866646928713,0.05861605491005998,1
28440,8,31,1.0064516129032257,0.9215253277774875,0.08492628512573819,0.08438188586211166,1
24688,10,31,2.2096774193548385,2.1255223704185235,0.08415504893631498,0.03808476667190897,1
31416,4,30,1.97,1.8860845161451931,0.08391548385480685,0.0425966923120847,1
24266,11,30,3.4400000000000004,3.3579303640282867,0.08206963597171368,0.023857452317358627,1
29231,7,31,0.8677419354838714,0.7864551534489593,0.08128678203491202,0.09367621721495432,1
32098,1,31,2.6774193548387095,2.596754740188667,0.08066461465004249,0.030127747640377317,1
30777,4,30,1.2566666666666668,1.176116253980016,0.08055041268665075,0.06409847163393959,1
29838,8,31,1.0935483870967742,1.0145569772893124,0.07899140980746178,0.07223403256729544,1
31416,1,31,2.029032258064516,1.9501303017615716,0.07890195630294428,0.03888649674707906,1
31416,5,31,1.1387096774193548,1.0600894620915973,0.07862021532775754,0.06904324858811568,1
29838,7,31,1.2580645161290318,1.1796271462131596,0.07843736991587225,0.06234765301005232,1
25551,10,31,2.4580645161290318,2.3800137872668987,0.07805072886213305,0.03175292119063156,1
21946,8,31,1.2935483870967743,1.2156536707256027,0.07789471637117162,0.06021786053631721,1
