station,month,n,baseline_mae,xgb_mae,gain,alpha,is_eligible
24641,8,31,0.9419354838709676,0.803309982053695,0.13862550181727262,0.1471709094635429,1
25563,7,31,1.470967741935484,1.3328098189446236,0.1381579229908605,0.09392314940168146,1
30230,6,30,0.8366666666666662,0.6986207008361813,0.1380459658304849,0.16499517828344817,1
30710,7,31,0.8322580645161293,0.6952613645984281,0.13699669991770114,0.16460843788560986,1
21946,8,31,1.2935483870967743,1.15955946060919,0.13398892648758443,0.10358246187319493,1
29866,6,19,1.1473684210526323,1.0137604562859788,0.1336079647666535,0.11644730874157866,1
22837,4,30,1.2366666666666668,1.1042437467972437,0.13242291986942312,0.107080528196299,1
25551,3,31,3.4000000000000012,3.268210814076085,0.1317891859239162,0.038761525271740045,1
27823,7,31,0.7741935483870964,0.6453061380693986,0.1288874103176978,0.16647957166035973,1
26063,7,31,0.7129032258064514,0.5844112642349736,0.1284919615714778,0.18023759315456167,1
37235,4,30,0.8533333333333332,0.7249513689676922,0.12838196436564098,0.15044761449098554,1
27459,1,31,1.2387096774193553,1.1109077945832282,0.12780188283612715,0.1031733949979151,1
24966,11,30,2.6133333333333337,2.48695522626241,0.12637810707092356,0.048358969542445236,1
27459,11,30,0.8766666666666667,0.7509172162413597,0.12574945042530705,0.14344043774749854,1
27648,6,30,0.5666666666666671,0.4417022387186686,0.1249644279479985,0.22052546108470308,1
30636,7,31,1.2322580645161292,1.1080663127283896,0.12419175178773956,0.10078388234083575,1
30054,7,31,0.7290322580645165,0.605957240443076,0.12307501762144057,0.1688197144364892,1
30673,5,31,1.1741935483870967,1.051929183160105,0.12226436522699169,0.10412624511089953,1
27595,12,31,1.4838709677419355,1.3617666644434774,0.12210430329845812,0.08228768265765656,1
34861,2,28,0.942857142857143,0.8222641338195121,0.12059300903763082,0.12790167625203266,1
24738,11,30,1.7300000000000002,1.6096734444300334,0.12032655556996685,0.06955292229477852,1
29866,3,19,1.5947368421052632,1.4765925543872935,0.1181442877179697,0.07408387678684568,1
25703,2,28,2.5642857142857145,2.446317441122872,0.11796827316284242,0.046004340509186455,1
28440,11,30,0.7833333333333333,0.6654377154509227,0.11789561788241065,0.1505050441052051,1
24641,11,30,1.3766666666666671,1.2587812391916913,0.11788542747497588,0.08563106111983718,1
31594,5,31,1.2967741935483872,1.1805318370942148,0.11624235645417236,0.08963962811142644,1
28900,2,28,0.7535714285714287,0.637513910446848,0.11605751812458065,0.15400997665821126,1
29231,5,31,1.5677419354838709,1.4534201760445873,0.11432175943928358,0.07292128688513974,1
24738,5,31,1.3548387096774193,1.2412145045495802,0.1136242051278391,0.08386548473721459,1
29838,8,31,1.0935483870967742,0.9805763429211032,0.11297204417567097,0.1033077690102006,1
21946,12,31,1.8258064516129036,1.712990176293158,0.11281627531974547,0.06178983277229875,1
24966,9,30,1.903333333333333,1.7913040733337404,0.11202925999959268,0.0588595061293832,1
28722,5,31,1.0161290322580645,0.9044511425879694,0.11167788967009507,0.10990522475469673,1
30949,4,30,1.2,1.0885462112228075,0.11145378877719248,0.09287815731432707,1
30925,4,30,1.3466666666666665,1.2352136177072923,0.11145304895937413,0.0827621650688422,1
31532,4,30,1.943333333333333,1.8339448386927448,0.10938849464058809,0.056289105303904685,1
28434,6,30,1.1,0.9906202507019042,0.10937974929809591,0.09943613572554173,1
21982,1,31,1.6709677419354838,1.5615890933621313,0.10937864857335255,0.0654582645902303,1
35121,7,31,0.8645161290322579,0.7559948951967301,0.10852123383552781,0.12552829286945383,1
26063,8,31,0.5677419354838712,0.45987740793535775,0.10786452754851344,0.1899886564774952,1
21946,7,31,1.4709677419354839,1.3632447350409722,0.10772300689451164,0.07323274591512853,1
24908,6,30,1.22,1.1123671690622967,0.10763283093770326,0.08822363191615022,1
24966,8,31,1.6483870967741936,1.5409068076841295,0.10748028909006413,0.0652033064929939,1
24959,11,30,1.5266666666666673,1.4193794218699136,0.10728724479675367,0.07027548785813556,1
29838,5,31,1.8806451612903228,1.7737569839723648,0.10688817731795797,0.05683590903699308,1
24817,7,31,1.1483870967741938,1.0421728195682647,0.10621427720592913,0.09248996048830906,1
24641,12,31,2.270967741935483,2.1658351036810104,0.10513263825447261,0.04629420150410017,1
23472,12,31,2.4967741935483865,2.3931469271259918,0.10362726642239473,0.04150446071181185,1
24343,6,30,0.7400000000000002,0.6364562034606934,0.10354379653930679,0.13992404937744157,1
29866,2,15,1.7733333333333334,1.6703497664133709,0.10298356691996258,0.0580734399924601,1
26063,4,30,0.5466666666666667,0.444531139532725,0.10213552713394175,0.18683328134257635,1
23631,12,31,1.0193548387096778,0.9179911275063791,0.10136371120329868,0.0994390837753879,1
25703,1,30,2.52,2.4192915217081707,0.10070847829182927,0.03996368186183701,1
28434,8,31,1.3096774193548386,1.2089888664983934,0.10068855285644518,0.07688042213176849,1
34861,3,31,0.5806451612903226,0.48032694775010304,0.10031821354021958,0.17277025665260037,1
30252,7,31,1.058064516129032,0.9581349342100084,0.09992958191902368,0.09444564144785776,1
29866,7,30,0.8833333333333333,0.7839258956909182,0.09940743764241511,0.11253672185933786,1
24966,4,29,2.0275862068965513,1.9282795937410715,0.09930661315547984,0.04897775138620605,1
29263,7,31,0.7967741935483869,0.6975480541106194,0.09922613943776748,0.12453483087331145,1
21946,5,31,1.2000000000000002,1.1010202353009055,0.09897976469909464,0.08248313724924553,1
24817,8,31,1.4129032258064516,1.3143442707677042,0.09855895503874734,0.06975633804112255,1
34861,1,31,0.5129032258064516,0.4145082668912026,0.09839495891524902,0.19183922807375595,1
24908,7,31,0.9451612903225806,0.8470240685247606,0.09813722179781992,0.10383119029803474,1
25703,5,31,1.1774193548387097,1.0793133543383686,0.09810600050034113,0.0833229045345363,1
24688,8,31,1.8032258064516131,1.705377040370818,0.09784876608079518,0.054263179758580506,1
34172,3,31,1.2580645161290323,1.1606446511562793,0.0974198649727529,0.07743630292706,1
24959,12,31,1.1096774193548389,1.012950897216797,0.09672652213804178,0.08716634262439811,1
28224,8,31,1.3387096774193545,1.2419917568083734,0.09671792061098117,0.07224712142025101,1
31416,4,30,1.97,1.8738212700684864,0.09617872993151355,0.048821690320565256,1
24817,4,30,2.3466666666666662,2.251258827249209,0.09540783941745712,0.0406567497517573,1
25703,7,31,1.3709677419354838,1.2758059470884258,0.095161794847058,0.06941213271197172,1
31004,7,31,0.9387096774193546,0.8436855685326361,0.09502410888671853,0.1012284321473634,1
27595,1,31,1.4677419354838712,1.3728485985148338,0.09489333696903746,0.06465260320967386,1
24507,11,30,2.5366666666666666,2.4420743123690287,0.0945923542976379,0.0372900214051135,1
29263,4,30,1.613333333333333,1.5187563010056813,0.0945770323276518,0.05862212747581724,1
