station,n,baseline_mae,xgb_delta_mae,gain,alpha
35121,365,0.9882191780821917,0.9526088986317437,0.035610279450448035,0.03603479900031476
24343,363,1.3575757575757577,1.322028757945154,0.035546999630603704,0.026184173835042904
31168,365,1.2580821917808218,1.2226311265720586,0.03545106520876318,0.028178655925955053
29698,365,1.4712328767123288,1.437376492243222,0.03385638446910688,0.023012253875649927
29612,364,1.048901098901099,1.0156591502861643,0.03324194861493468,0.03169216683037251
27595,365,0.8517808219178081,0.8187593911718801,0.033021430745928004,0.03876752081783121
30372,365,1.6578082191780823,1.6255724532009272,0.03223576597715505,0.019444810083724333
31960,365,1.3572602739726027,1.3250642692283663,0.03219600474423645,0.023721319603646155
31369,365,1.409041095890411,1.378015760732113,0.031025335158297862,0.02201875818156469
24266,365,2.0021917808219176,1.9728594953181502,0.02933228550376743,0.014650087861077056
24507,364,1.6873626373626376,1.658212056663079,0.02915058069955867,0.01727582444584721
24951,365,1.5734246575342465,1.544573365571711,0.02885129196253544,0.01833662121944182
24959,365,1.2219178082191782,1.1932342027810925,0.02868360543808568,0.023474251087222585
31329,365,1.0575342465753426,1.0308103239863526,0.026723922588989923,0.02527003042741275
30636,364,1.5796703296703296,1.5529655200585974,0.02670480961173216,0.01690530556290523
31532,365,1.552876712328767,1.5267229999308412,0.026153712397925855,0.016842104843406737
32061,364,1.2678571428571428,1.241742710827552,0.02611443202959074,0.020597298502212414
28138,306,1.8362745098039215,1.8115492694378141,0.02472524036610735,0.013464893312028561
36034,365,1.4816438356164385,1.4571022657518697,0.02454156986456879,0.01656374445371229
28434,364,1.2494505494505495,1.2259994590148209,0.023451090435728572,0.01876912251232454
30777,365,1.286301369863014,1.2629090830273064,0.023392286835707488,0.018185696901029245
31510,365,1.0249315068493152,1.0038896043938808,0.02104190245543447,0.020530057193888212
22550,365,0.717808219178082,0.6983394295211933,0.019468789656888696,0.027122550476199908
31909,365,1.2964383561643837,1.2776094859880907,0.01882887017629309,0.01452353680124044
29231,365,1.4005479452054792,1.382159379299974,0.018388565905505194,0.013129551164924485
31088,365,0.9997260273972604,0.9818404152697552,0.01788561212750517,0.017890513638090945
34391,365,0.9169863013698628,0.8993213366554039,0.017664964714458886,0.01926415333366446
31253,337,1.1477744807121661,1.1308136078585365,0.016960872853629683,0.014777182398327825
24641,364,1.320054945054945,1.3041351695130527,0.015919775541892278,0.012059934021329426
23955,365,1.3512328767123285,1.3365742959846958,0.014658580727632708,0.01084830082235592
23472,365,1.5046575342465756,1.4905347953461852,0.014122738900390397,0.00938601547458575
34861,365,0.575890410958904,0.5617788463606409,0.014111564598263127,0.024503906176812758
23933,365,0.9767123287671233,0.962796550459541,0.013915778307582283,0.014247571058253949
23884,365,1.4761643835616438,1.4631152185378913,0.01304916502375253,0.008839913202801917
28224,321,1.0457943925233646,1.0334040630243957,0.0123903294989689,0.011847768153616373
29282,365,1.2978082191780822,1.285813188100591,0.011995031077491225,0.009242529751497355
24817,365,1.7164383561643837,1.7046865693441504,0.011751786820233256,0.0068466116350920005
27459,365,0.9583561643835615,0.9466292556071628,0.011726908776398703,0.012236482857019804
24944,364,1.3057692307692306,1.2942601402434084,0.011509090525822163,0.008814031035975738
34172,364,1.0324175824175823,1.0214132964634077,0.011004285954174575,0.010658754889088733
32411,365,1.2542465753424659,1.243716803609293,0.010529771733172932,0.008395296379659502
23921,364,1.3782967032967033,1.3688916247161516,0.009405078580551729,0.006823696638072213
30252,365,1.6312328767123287,1.6219905634383887,0.009242313273940095,0.0056658453896340855
28661,365,0.8473972602739724,0.8385826827683134,0.00881457750565906,0.010401942416959449
24738,364,1.4505494505494505,1.442025226911034,0.008524223638416428,0.005876548114362841
23631,365,0.942191780821918,0.9337614639312642,0.008430316890653766,0.008947559363444676
23724,365,1.0712328767123287,1.0630517385041736,0.008181138208155136,0.007637123902753517
29263,364,1.2057692307692307,1.19836281777483,0.007406412994400702,0.006142479676376978
27333,253,1.066403162055336,1.059659794635938,0.006743367419397961,0.006323469077493269
30230,365,1.2435616438356165,1.2368208912750451,0.006740752560571384,0.005420521446592982
37031,365,0.8082191780821918,0.8022050062374032,0.006014171844788585,0.007441263468975706
34824,365,0.7293150684931509,0.7247662348009339,0.004548833692216925,0.006237131095639283
28064,365,0.9076712328767123,0.9043147766910977,0.0033564561856145314,0.0036978765703269065
32165,365,0.8424657534246576,0.8406467881295926,0.0018189652950649782,0.002159097016906397
34123,365,0.6342465753424658,0.6326967052839559,0.0015498700585098169,0.002443639617088912
22641,365,0.9123287671232877,0.9127068397246481,-0.0003780726013603575,0.0
22887,364,0.9054945054945056,0.9060885008521028,-0.0005939953575971879,0.0
30054,365,1.0723287671232877,1.0729409277935078,-0.0006121606702200744,0.0
28275,365,1.067945205479452,1.0694194598899904,-0.0014742544105383892,0.0
23405,365,0.9263013698630135,0.9296522768714451,-0.0033509070084316583,0.0
