station,overlap_rows,overlap_years,date_min,date_max,baseline_mae,baseline_rmse,baseline_bias,exact_equal_ratio,abs_delta_median,abs_delta_max
31707,3767,11,2013-01-01,2023-12-31,1.265065038492169,1.7091883048787742,0.003318290416777274,0.06848951420228298,0.9000000000000021,7.4
23324,3766,11,2013-01-01,2023-12-31,0.9565055762081784,1.3987001780216788,0.09596388741370152,0.08921933085501858,0.6000000000000014,8.300000000000004
20891,3761,11,2013-01-01,2023-12-31,1.3928476469024196,1.9702473198718928,0.030071789417708116,0.07232119117256049,1.0,10.299999999999997
31329,3760,11,2013-01-01,2023-12-31,1.0802925531914893,1.5057010454595137,0.24710106382978725,0.0747340425531915,0.7999999999999989,7.599999999999998
24641,3723,11,2013-01-01,2023-12-31,1.2217029277464408,1.6828167298071177,0.29605157131345694,0.06124093473005641,0.8999999999999999,10.600000000000001
29866,3720,11,2013-01-01,2023-12-31,1.3748924731182797,1.8737260905387403,0.41693548387096774,0.06639784946236559,1.0,9.2
30230,3713,11,2013-01-01,2023-12-31,1.4693239967681122,2.116685027980246,0.32625908968489087,0.05413412335039052,1.0,11.7
24738,3691,11,2013-01-01,2023-12-31,1.4727174207531835,2.035268816323933,0.36418314819832026,0.05852072609049038,1.0999999999999999,9.899999999999999
21946,3682,11,2013-01-01,2023-12-31,1.5358500814774578,2.0664582899744763,-0.11482889733840305,0.055676262900597503,1.1999999999999993,8.899999999999999
30636,3672,11,2013-01-01,2023-12-31,1.3565087145969499,1.8820669291834244,0.08085511982570809,0.05201525054466231,1.0,12.3
31388,3668,11,2013-01-01,2023-12-31,1.275081788440567,1.792047439101788,0.29242093784078516,0.07715376226826609,0.8999999999999999,9.399999999999999
31873,3661,11,2013-01-01,2023-12-31,1.2723845943731218,1.7911235198987685,-0.01846490030046437,0.0671947555312756,0.9000000000000004,9.600000000000001
31909,3657,11,2013-01-01,2023-12-31,1.1069182389937107,1.5193510696859942,0.06141646158053051,0.07219031993437244,0.8000000000000007,8.0
24343,3651,11,2013-01-01,2023-12-30,1.2506436592714325,1.7325322612160727,-0.002163790742262382,0.06107915639550808,0.9000000000000004,8.600000000000001
34861,3571,10,2013-01-01,2023-12-31,0.7357042845141418,1.0305797646752837,0.40576869224306916,0.09465135816297955,0.5,5.300000000000001
28275,3542,11,2013-01-01,2023-12-31,0.9669678147939017,1.3637208707110389,0.032185206098249576,0.08243929983060418,0.6999999999999997,10.4
22583,3522,11,2013-01-01,2023-12-31,0.7957978421351505,1.1666455745639421,0.08290743895513912,0.10164679159568427,0.5999999999999979,6.800000000000001
33008,3510,11,2013-01-01,2023-12-31,0.4272649572649573,0.5827212906391035,-0.03512820512820513,0.09173789173789174,0.3000000000000007,4.300000000000001
24125,3484,11,2013-01-01,2023-12-31,0.9351033295063145,1.3505973080101015,0.20318599311136623,0.0812284730195178,0.6000000000000014,7.600000000000001
22641,3449,11,2013-01-01,2023-12-31,0.7327341258335749,1.0421558047473096,0.01902000579878226,0.1014786894752102,0.5000000000000001,7.300000000000001
32389,3401,11,2013-01-01,2023-12-31,1.2189062040576302,1.8549226448102714,-0.08224051749485449,0.07321376065862982,0.7999999999999989,11.5
28224,3328,11,2013-01-01,2023-12-31,0.8200120192307693,1.1281792683516487,0.08834134615384617,0.09495192307692307,0.6000000000000005,13.799999999999999
34163,3320,11,2013-01-01,2023-12-31,0.9004216867469879,1.234479549865507,0.361987951807229,0.0930722891566265,0.6999999999999993,6.800000000000001
34880,3277,11,2013-01-01,2023-12-31,0.4974977113213305,0.7014414732337201,-0.04165395178516935,0.12114739090631675,0.3999999999999986,4.099999999999998
34172,3268,11,2013-01-01,2023-12-31,0.7216340269277847,0.9961784383473433,-0.12291921664626683,0.09853121175030599,0.5,5.3999999999999995
28661,3259,11,2013-01-01,2023-12-31,0.8505369745320651,1.1695547181400001,0.028812519177661856,0.09143909174593434,0.6000000000000005,8.299999999999999
23205,3246,11,2013-01-01,2023-12-31,0.9154651879235984,1.3267219016481941,-0.01349353049907578,0.09796672828096119,0.6000000000000001,7.800000000000001
23711,3186,11,2013-01-01,2023-12-31,0.8643753923414941,1.2415274697947143,0.117608286252354,0.10765850596359071,0.6,9.8
27612,3180,11,2013-01-01,2023-12-31,0.3040566037735849,0.4615430777063137,0.0001572327044025146,0.1669811320754717,0.20000000000000018,6.3
32411,3176,11,2013-01-01,2023-12-31,1.1034005037783374,1.542804456805705,0.010201511335012592,0.058564231738035266,0.7999999999999998,6.7
23724,3164,11,2013-01-01,2023-12-31,0.8878634639696587,1.2916732256538606,0.012010113780025288,0.08343868520859671,0.6000000000000014,12.899999999999999
28493,3159,11,2013-01-01,2023-12-31,0.950997150997151,1.3468874227868064,0.05109211775878442,0.09116809116809117,0.6999999999999993,9.0
